condition,quota
data$x[data$WEEK==1&data$City==1],5
data$x[data$WEEK==1&data$City==2],5
data$x[data$WEEK==1&data$City==3],5
data$x[data$WEEK==1&data$City==4],5
data$x[data$WEEK==1&data$City==5],5
data$x[data$WEEK==1&data$City==6],5
data$x[data$WEEK==1&data$City==7],5
data$x[data$WEEK==1&data$City==8],5
data$x[data$WEEK==2&data$City==1],5
data$x[data$WEEK==2&data$City==2],5
data$x[data$WEEK==2&data$City==3],5
data$x[data$WEEK==2&data$City==4],5
data$x[data$WEEK==2&data$City==5],5
data$x[data$WEEK==2&data$City==6],5
data$x[data$WEEK==2&data$City==7],5
data$x[data$WEEK==2&data$City==8],5
data$x[data$WEEK==3&data$City==1],5
data$x[data$WEEK==3&data$City==2],5
data$x[data$WEEK==3&data$City==3],5
data$x[data$WEEK==3&data$City==4],5
data$x[data$WEEK==3&data$City==5],5
data$x[data$WEEK==3&data$City==6],5
data$x[data$WEEK==3&data$City==7],5
data$x[data$WEEK==3&data$City==8],5
data$x[data$WEEK==4&data$City==1],5
data$x[data$WEEK==4&data$City==2],5
data$x[data$WEEK==4&data$City==3],5
data$x[data$WEEK==4&data$City==4],5
data$x[data$WEEK==4&data$City==5],5
data$x[data$WEEK==4&data$City==6],5
data$x[data$WEEK==4&data$City==7],5
data$x[data$WEEK==4&data$City==8],5
data$x[data$AGE==2],32
data$x[data$AGE==3],48
data$x[data$AGE==4],80
data$x[data$Income==1],48
data$x[data$Income==2],48
data$x[data$Income==3],40
data$x[data$Income==4],24
